epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,3170.42,0.36361,0.27468,0.93271,0.98678,0.98274,0.99084,0.98107,0.16101,0.13187,0.79184,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3432.03,0.35917,0.26498,0.93099,0.98963,0.98294,0.99012,0.9811,0.15184,0.12242,0.789,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3693.72,0.35861,0.26421,0.92654,0.98845,0.98608,0.98987,0.97919,0.15343,0.12209,0.78937,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3955.67,0.35608,0.26409,0.9285,0.9874,0.98996,0.99122,0.98153,0.14626,0.11898,0.78874,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4217.49,0.35524,0.26819,0.92913,0.98989,0.98896,0.99133,0.98218,0.14886,0.11906,0.78829,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4479.97,0.35037,0.26618,0.92713,0.98895,0.99055,0.99095,0.98093,0.14502,0.11469,0.78803,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,4741.42,0.35807,0.26772,0.92964,0.99414,0.98557,0.99031,0.98066,0.14082,0.11131,0.78701,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,5003.28,0.35227,0.26449,0.93161,0.99206,0.99048,0.99138,0.98255,0.14164,0.11137,0.78701,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,5266.21,0.35178,0.26759,0.92723,0.98899,0.98905,0.99031,0.98217,0.14593,0.11504,0.78689,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,5527.71,0.34855,0.26441,0.92779,0.98801,0.99026,0.99074,0.98123,0.14718,0.11375,0.78654,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
